unix,datetime,speed,location
1741491000,2025-03-09 03:30:00,37.0,Sunshine Coast Airport
1741491600,2025-03-09 03:40:00,40.8,Sunshine Coast Airport
1741492200,2025-03-09 03:50:00,37.0,Sunshine Coast Airport
1741492800,2025-03-09 04:00:00,35.2,Sunshine Coast Airport
1741493400,2025-03-09 04:10:00,37.0,Sunshine Coast Airport
1741494000,2025-03-09 04:20:00,37.0,Sunshine Coast Airport
1741494600,2025-03-09 04:30:00,35.2,Sunshine Coast Airport
1741495200,2025-03-09 04:40:00,25.9,Sunshine Coast Airport
1741495800,2025-03-09 04:50:00,29.6,Sunshine Coast Airport
1741496400,2025-03-09 05:00:00,27.8,Sunshine Coast Airport
1741497000,2025-03-09 05:10:00,35.2,Sunshine Coast Airport
1741497600,2025-03-09 05:20:00,46.3,Sunshine Coast Airport
1741498200,2025-03-09 05:30:00,44.5,Sunshine Coast Airport
1741498800,2025-03-09 05:40:00,44.5,Sunshine Coast Airport
1741499400,2025-03-09 05:50:00,37.0,Sunshine Coast Airport
1741500000,2025-03-09 06:00:00,42.6,Sunshine Coast Airport
1741500600,2025-03-09 06:10:00,42.6,Sunshine Coast Airport
1741501200,2025-03-09 06:20:00,31.5,Sunshine Coast Airport
1741501800,2025-03-09 06:30:00,31.5,Sunshine Coast Airport
1741502400,2025-03-09 06:40:00,31.5,Sunshine Coast Airport
1741503000,2025-03-09 06:50:00,37.0,Sunshine Coast Airport
1741503600,2025-03-09 07:00:00,42.6,Sunshine Coast Airport
1741504200,2025-03-09 07:10:00,33.3,Sunshine Coast Airport
1741504800,2025-03-09 07:20:00,33.3,Sunshine Coast Airport
1741505400,2025-03-09 07:30:00,37.0,Sunshine Coast Airport
1741506000,2025-03-09 07:40:00,31.5,Sunshine Coast Airport
1741506600,2025-03-09 07:50:00,31.5,Sunshine Coast Airport
1741507200,2025-03-09 08:00:00,35.2,Sunshine Coast Airport
1741507800,2025-03-09 08:10:00,37.0,Sunshine Coast Airport
1741508400,2025-03-09 08:20:00,38.9,Sunshine Coast Airport
1741509000,2025-03-09 08:30:00,38.9,Sunshine Coast Airport
1741509600,2025-03-09 08:40:00,37.0,Sunshine Coast Airport
1741510200,2025-03-09 08:50:00,44.5,Sunshine Coast Airport
1741510800,2025-03-09 09:00:00,38.9,Sunshine Coast Airport
1741511400,2025-03-09 09:10:00,42.6,Sunshine Coast Airport
1741512000,2025-03-09 09:20:00,42.6,Sunshine Coast Airport
1741512600,2025-03-09 09:30:00,38.9,Sunshine Coast Airport
1741513200,2025-03-09 09:40:00,51.8,Sunshine Coast Airport
1741513800,2025-03-09 09:50:00,38.9,Sunshine Coast Airport
1741514400,2025-03-09 10:00:00,40.8,Sunshine Coast Airport
1741515000,2025-03-09 10:10:00,38.9,Sunshine Coast Airport
1741515600,2025-03-09 10:20:00,38.9,Sunshine Coast Airport
1741516200,2025-03-09 10:30:00,40.8,Sunshine Coast Airport
1741516800,2025-03-09 10:40:00,38.9,Sunshine Coast Airport
1741517400,2025-03-09 10:50:00,40.8,Sunshine Coast Airport
1741518000,2025-03-09 11:00:00,35.2,Sunshine Coast Airport
1741518600,2025-03-09 11:10:00,37.0,Sunshine Coast Airport
1741519200,2025-03-09 11:20:00,35.2,Sunshine Coast Airport
1741519800,2025-03-09 11:30:00,40.8,Sunshine Coast Airport
1741520400,2025-03-09 11:40:00,42.6,Sunshine Coast Airport
1741521000,2025-03-09 11:50:00,42.6,Sunshine Coast Airport
1741521600,2025-03-09 12:00:00,40.8,Sunshine Coast Airport
1741522200,2025-03-09 12:10:00,35.2,Sunshine Coast Airport
1741522800,2025-03-09 12:20:00,37.0,Sunshine Coast Airport
1741523400,2025-03-09 12:30:00,38.9,Sunshine Coast Airport
1741524000,2025-03-09 12:40:00,37.0,Sunshine Coast Airport
1741524600,2025-03-09 12:50:00,35.2,Sunshine Coast Airport
1741525200,2025-03-09 13:00:00,31.5,Sunshine Coast Airport
1741525800,2025-03-09 13:10:00,31.5,Sunshine Coast Airport
1741526400,2025-03-09 13:20:00,29.6,Sunshine Coast Airport
1741527000,2025-03-09 13:30:00,31.5,Sunshine Coast Airport
1741527600,2025-03-09 13:40:00,29.6,Sunshine Coast Airport
1741528200,2025-03-09 13:50:00,27.8,Sunshine Coast Airport
1741528800,2025-03-09 14:00:00,29.6,Sunshine Coast Airport
1741529400,2025-03-09 14:10:00,27.8,Sunshine Coast Airport
